,steps,words,feedback,ncands
129,4,"['reais', 'emcee', 'dowel', 'dozen']","['XYXXX', 'YXXGY', 'GGXGX', 'GGGGG']","[121, 29, 2, 2]"
130,4,"['reais', 'booty', 'booby', 'boozy']","['XXXXX', 'GGGXG', 'GGGYG', 'GGGGG']","[168, 2, 1, 1]"
131,3,"['reais', 'freer', 'erode']","['YYXXX', 'XGYYY', 'GGGGG']","[108, 19, 19]"
132,4,"['reais', 'error', 'worry', 'world']","['YXXXX', 'XYGYY', 'GGGYX', 'GGGGG']","[103, 16, 2, 2]"
133,4,"['reais', 'emcee', 'budge', 'gouge']","['XYXXX', 'YXXYG', 'XYXGG', 'GGGGG']","[121, 28, 1, 1]"
134,3,"['reais', 'icily', 'click']","['XXXYX', 'YYGYX', 'GGGGG']","[118, 6, 6]"
135,3,"['reais', 'friar', 'briar']","['YXYYX', 'XGGGG', 'GGGGG']","[12, 1, 1]"
136,4,"['reais', 'rarer', 'treat', 'great']","['YYYXX', 'YYYYY', 'YGGGG', 'GGGGG']","[57, 19, 1, 1]"
137,3,"['reais', 'array', 'altar']","['YXYXX', 'GYYGX', 'GGGGG']","[60, 1, 1]"
138,5,"['reais', 'booty', 'dumpy', 'puppy', 'pulpy']","['XXXXX', 'XXXXG', 'XGXGG', 'GGYGG', 'GGGGG']","[168, 23, 3, 1, 1]"
139,4,"['reais', 'error', 'blurb', 'blurt']","['YXXXX', 'XYYXY', 'GGGGY', 'GGGGG']","[103, 3, 1, 1]"
140,4,"['reais', 'slash', 'toast', 'coast']","['XXGXY', 'YXGGX', 'YGGGG', 'GGGGG']","[50, 3, 2, 2]"
141,4,"['reais', 'booty', 'dumpy', 'duchy']","['XXXXX', 'XXXXG', 'GGXXG', 'GGGGG']","[168, 23, 2, 2]"
142,3,"['reais', 'droit', 'groin']","['YXXGX', 'XGGGX', 'GGGGG']","[10, 2, 2]"
143,4,"['reais', 'drier', 'finer', 'fixer']","['YYXYX', 'XYYGG', 'GGXGG', 'GGGGG']","[53, 16, 3, 3]"
144,5,"['reais', 'error', 'crown', 'trout', 'group']","['YXXXX', 'XGYYY', 'XGGXX', 'XGGGX', 'GGGGG']","[103, 25, 9, 2, 2]"
145,3,"['reais', 'roger', 'rogue']","['GYXXX', 'GGGYY', 'GGGGG']","[11, 1, 1]"
