steps,words,feedback,ncands
3,"['crane', 'toils', 'tilde']","['XXXXG', 'GXYYX', 'GGGGG']","[102, 1, 1]"
4,"['crane', 'sprog', 'shore', 'store']","['XYXXG', 'GXYYX', 'GXGGG', 'GGGGG']","[40, 3, 2, 2]"
3,"['crane', 'pivot', 'prove']","['XGXXG', 'GXYYX', 'GGGGG']","[26, 1, 1]"
3,"['crane', 'grind', 'bring']","['XGXGX', 'YGGGX', 'GGGGG']","[17, 2, 2]"
4,"['crane', 'toils', 'loose', 'solve']","['XXXXG', 'XGXYY', 'YGYYG', 'GGGGG']","[102, 3, 1, 1]"
3,"['crane', 'cleat', 'cheat']","['GXYXY', 'GXGGG', 'GGGGG']","[7, 1, 1]"
4,"['crane', 'pivot', 'bribe', 'grime']","['XGXXG', 'XYXXX', 'XGGXG', 'GGGGG']","[26, 3, 1, 1]"
4,"['crane', 'spilt', 'dwelt', 'exult']","['XXXXY', 'XXXGG', 'XXYGG', 'GGGGG']","[127, 2, 1, 1]"
4,"['crane', 'rosit', 'serum', 'usher']","['XYXXY', 'YXYXX', 'YYYYX', 'GGGGG']","[122, 9, 1, 1]"
3,"['crane', 'belch', 'epoch']","['YXXXY', 'XYXGG', 'GGGGG']","[20, 1, 1]"
3,"['crane', 'arbor', 'triad']","['XGYXX', 'YGXXY', 'GGGGG']","[12, 2, 2]"
3,"['crane', 'tread', 'break']","['XGYXY', 'XGGGX', 'GGGGG']","[9, 3, 3]"
3,"['crane', 'burnt', 'rhino']","['XYXGX', 'XXYGX', 'GGGGG']","[4, 1, 1]"
4,"['crane', 'parol', 'mural', 'viral']","['XYYXX', 'XYGXG', 'XXGGG', 'GGGGG']","[65, 3, 1, 1]"
4,"['crane', 'conch', 'condo', 'conic']","['GXXYX', 'GGGYX', 'GGGXY', 'GGGGG']","[8, 2, 1, 1]"
3,"['crane', 'sault', 'masse']","['XXYXG', 'YGXXX', 'GGGGG']","[49, 1, 1]"
4,"['crane', 'punch', 'ionic', 'sonic']","['YXXYX', 'XXGYX', 'YGGGG', 'GGGGG']","[18, 3, 2, 2]"
3,"['crane', 'toils', 'vital']","['XXYXX', 'YXYYX', 'GGGGG']","[134, 1, 1]"
4,"['crane', 'brace', 'grace', 'trace']","['YGGXG', 'XGGGG', 'XGGGG', 'GGGGG']","[3, 2, 1, 1]"
4,"['crane', 'gouts', 'suing', 'using']","['XXXGX', 'YXYXY', 'YYGGG', 'GGGGG']","[58, 2, 1, 1]"
4,"['crane', 'beach', 'leach', 'peach']","['YXGXY', 'XGGGG', 'XGGGG', 'GGGGG']","[5, 3, 2, 2]"
3,"['crane', 'chasm', 'champ']","['GXGXX', 'GGGXY', 'GGGGG']","[13, 1, 1]"
3,"['crane', 'toils', 'baton']","['XXYYX', 'YYXXX', 'GGGGG']","[47, 1, 1]"
3,"['crane', 'grade', 'brake']","['XGGXG', 'XGGXG', 'GGGGG']","[13, 5, 5]"
3,"['crane', 'kutis', 'pluck']","['YXXXX', 'YYXXX', 'GGGGG']","[55, 1, 1]"
4,"['crane', 'crate', 'crave', 'craze']","['GGGXG', 'GGGXG', 'GGGXG', 'GGGGG']","[3, 2, 1, 1]"
3,"['crane', 'pivot', 'gripe']","['XGXXG', 'YYXXX', 'GGGGG']","[26, 1, 1]"
3,"['crane', 'teary', 'weary']","['XYGXY', 'XGGGG', 'GGGGG']","[9, 1, 1]"
4,"['crane', 'kutis', 'flick', 'picky']","['YXXXX', 'YXXYX', 'XXYYY', 'GGGGG']","[55, 2, 1, 1]"
2,"['crane', 'acute']","['YXYXG', 'GGGGG']","[2, 2]"
5,"['crane', 'rosit', 'dumpy', 'berry', 'ferry']","['XYXXY', 'YXXXX', 'XXXXG', 'XGGGG', 'GGGGG']","[122, 27, 5, 1, 1]"
3,"['crane', 'sault', 'aside']","['XXYXG', 'YYXXX', 'GGGGG']","[49, 1, 1]"
4,"['crane', 'parol', 'rapid', 'tapir']","['XYYXX', 'YGYXX', 'YGGGX', 'GGGGG']","[65, 3, 1, 1]"
3,"['crane', 'pilot', 'troll']","['XGXXX', 'XXYYY', 'GGGGG']","[51, 1, 1]"
4,"['crane', 'pilot', 'fungi', 'unify']","['XXXYX', 'XYXXX', 'YYYXY', 'GGGGG']","[55, 4, 1, 1]"
3,"['crane', 'rosit', 'rebus']","['XYXXY', 'GXYXX', 'GGGGG']","[122, 1, 1]"
3,"['crane', 'slipt', 'boost']","['XXXXX', 'YXXXG', 'GGGGG']","[263, 3, 3]"
3,"['crane', 'pilot', 'truss']","['XGXXX', 'XXXXY', 'GGGGG']","[51, 2, 2]"
3,"['crane', 'toils', 'siege']","['XXXXG', 'XXYXY', 'GGGGG']","[102, 3, 3]"
3,"['crane', 'rosit', 'tiger']","['XYXXY', 'YXXYY', 'GGGGG']","[122, 2, 2]"
4,"['crane', 'toils', 'annul', 'banal']","['XXYYX', 'XXXYX', 'YYGXG', 'GGGGG']","[47, 4, 1, 1]"
4,"['crane', 'slipt', 'sloop', 'slump']","['XXXXX', 'GGXYX', 'GGXXG', 'GGGGG']","[263, 2, 1, 1]"
2,"['crane', 'crank']","['GGGGX', 'GGGGG']","[1, 1]"
