,steps,words,feedback,ncands
133,4,"['reais', 'emcee', 'budge', 'gouge']","['XYXXX', 'YXXYG', 'XYXGG', 'GGGGG']","[121, 28, 1, 1]"
134,5,"['reais', 'icily', 'cliff', 'climb', 'click']","['XXXYX', 'YYGYX', 'GGGXX', 'GGGXX', 'GGGGG']","[118, 6, 4, 3, 3]"
135,3,"['reais', 'friar', 'briar']","['YXYYX', 'XGGGG', 'GGGGG']","[12, 1, 1]"
136,4,"['reais', 'rarer', 'treat', 'great']","['YYYXX', 'YYYYY', 'YGGGG', 'GGGGG']","[57, 19, 1, 1]"
137,3,"['reais', 'array', 'altar']","['YXYXX', 'GYYGX', 'GGGGG']","[60, 1, 1]"
138,5,"['reais', 'booty', 'dumpy', 'puppy', 'pulpy']","['XXXXX', 'XXXXG', 'XGXGG', 'GGYGG', 'GGGGG']","[168, 23, 3, 1, 1]"
139,5,"['reais', 'error', 'churn', 'blurb', 'blurt']","['YXXXX', 'XYYXY', 'XXGGX', 'GGGGY', 'GGGGG']","[103, 3, 2, 1, 1]"
140,3,"['reais', 'slash', 'coast']","['XXGXY', 'YXGGX', 'GGGGG']","[50, 3, 3]"
141,4,"['reais', 'booty', 'dumpy', 'duchy']","['XXXXX', 'XXXXG', 'GGXXG', 'GGGGG']","[168, 23, 2, 2]"
142,3,"['reais', 'fruit', 'groin']","['YXXGX', 'XGXGX', 'GGGGG']","[10, 2, 2]"
143,5,"['reais', 'drier', 'finer', 'fiber', 'fixer']","['YYXYX', 'XYYGG', 'GGXGG', 'GGXGG', 'GGGGG']","[53, 16, 3, 2, 2]"
144,4,"['reais', 'error', 'crown', 'group']","['YXXXX', 'XGYYY', 'XGGXX', 'GGGGG']","[103, 25, 9, 9]"
145,3,"['reais', 'roger', 'rogue']","['GYXXX', 'GGGYY', 'GGGGG']","[11, 1, 1]"
146,4,"['reais', 'canal', 'fault', 'badly']","['XXYXX', 'XGXYY', 'XGXGX', 'GGGGG']","[150, 10, 4, 4]"
147,4,"['reais', 'shark', 'start', 'smart']","['YXGXY', 'GXGGX', 'GYGGG', 'GGGGG']","[15, 6, 1, 1]"
148,4,"['reais', 'icily', 'ditty', 'pithy']","['XXXYX', 'YXYXG', 'XGGYG', 'GGGGG']","[118, 20, 1, 1]"
149,7,"['reais', 'canal', 'tatty', 'happy', 'daddy', 'bawdy', 'gaudy']","['XXYXX', 'XGXYX', 'XGXXG', 'XGXXG', 'YGYGG', 'XGXGG', 'GGGGG']","[150, 24, 9, 7, 2, 1, 1]"
150,5,"['reais', 'icily', 'child', 'chili', 'chill']","['XXXYX', 'YYGGX', 'GGGGX', 'GGGGY', 'GGGGG']","[118, 3, 2, 1, 1]"
151,4,"['reais', 'merry', 'nerve', 'heron']","['YGXXX', 'XGGYX', 'YGGXY', 'GGGGG']","[34, 7, 1, 1]"
152,4,"['reais', 'canal', 'about', 'vodka']","['XXYXX', 'XYXYX', 'YXYXX', 'GGGGG']","[150, 7, 2, 2]"
153,3,"['reais', 'drier', 'finer']","['YYXYX', 'XYYGG', 'GGGGG']","[53, 16, 16]"
154,4,"['reais', 'spree', 'screw', 'surer']","['YYXXY', 'GXGGY', 'GXGGX', 'GGGGG']","[33, 3, 1, 1]"
155,2,"['reais', 'radio']","['GXYGX', 'GGGGG']","[5, 5]"
156,3,"['reais', 'roger', 'rouge']","['GYXXX', 'GGYYY', 'GGGGG']","[11, 1, 1]"
157,5,"['reais', 'merry', 'nerve', 'berth', 'perch']","['YGXXX', 'XGGYX', 'XGGXY', 'XGGXG', 'GGGGG']","[34, 7, 3, 1, 1]"
158,6,"['reais', 'refer', 'revue', 'reply', 'retro', 'retch']","['GGXXX', 'GGXYY', 'GGXXY', 'GGXXX', 'GGGYX', 'GGGGG']","[15, 9, 5, 2, 1, 1]"
159,4,"['reais', 'freer', 'erode', 'wrote']","['YYXXX', 'XGYYY', 'YGGXG', 'GGGGG']","[108, 19, 10, 10]"
160,3,"['reais', 'booty', 'clock']","['XXXXX', 'XYGXX', 'GGGGG']","[168, 13, 13]"
161,4,"['reais', 'niece', 'title', 'tilde']","['XYXYX', 'XGYXG', 'GGYYG', 'GGGGG']","[74, 10, 1, 1]"
162,4,"['reais', 'spree', 'score', 'store']","['YYXXY', 'GXYYG', 'GXGGG', 'GGGGG']","[33, 5, 4, 4]"
163,7,"['reais', 'freer', 'erode', 'wrote', 'broke', 'grove', 'prove']","['YYXXX', 'XGYYY', 'YGGXG', 'XGGXG', 'XGGXG', 'XGGGG', 'GGGGG']","[108, 19, 10, 7, 5, 1, 1]"
164,4,"['reais', 'prior', 'brink', 'bring']","['YXXYX', 'XGGXY', 'GGGGX', 'GGGGG']","[41, 16, 2, 2]"
165,4,"['reais', 'sheet', 'slope', 'solve']","['XYXXY', 'GXYYX', 'GYYXG', 'GGGGG']","[67, 6, 1, 1]"
166,5,"['reais', 'eagle', 'ahead', 'wheat', 'cheat']","['XYYXX', 'YYXXY', 'YGGGX', 'XGGGG', 'GGGGG']","[90, 14, 3, 1, 1]"
167,6,"['reais', 'drier', 'trite', 'prize', 'crime', 'grime']","['YYXYX', 'XGGYY', 'XGGXG', 'XGGXG', 'XGGGG', 'GGGGG']","[53, 14, 9, 5, 1, 1]"
168,4,"['reais', 'emcee', 'event', 'exult']","['XYXXX', 'GXXYY', 'GXYXG', 'GGGGG']","[121, 10, 1, 1]"
169,4,"['reais', 'spree', 'ester', 'usher']","['YYXXY', 'YXYGY', 'YGXGG', 'GGGGG']","[33, 3, 1, 1]"
170,4,"['reais', 'emcee', 'elect', 'epoch']","['XYXXX', 'GXYYY', 'GXYGX', 'GGGGG']","[121, 3, 1, 1]"
171,4,"['reais', 'friar', 'trial', 'triad']","['YXYYX', 'XGGGY', 'GGGGX', 'GGGGG']","[12, 2, 1, 1]"
172,4,"['reais', 'rarer', 'treat', 'break']","['YYYXX', 'YYYYY', 'XGGGX', 'GGGGG']","[57, 19, 8, 8]"
